Title,Description,Link,Published Date,Summary
Terrified families flee Rafah as Israel set to open all-out assault,"Leaflet instructs Palestinians to leave southern Gaza city as Benjamin Netanyahu shuns pressure from Joe BidenSee all our Israel-Gaza war coverageMore than a hundred thousand Palestinians fled Rafah, Gaza’s southernmost city, on Saturday, after Israeli warnings to evacuate before an imminent military assault that will open a bloody new phase of the seven-month-long conflict.Roads leading out of Rafah were choked with long columns of young and old, sick and healthy, riding in overloaded pick-up trucks and battered cars, in pony carts and on hand-pulled trolleys. Many walked, carrying their belongings, under a searing summer sun. Some were pushed in wheelchairs or even carried. Continue reading...",https://www.theguardian.com/world/article/2024/may/11/leaflet-families-rafah-israel-assault-gaza-palestinians-biden,2024-05-11 17:51:07,"Tens of thousands of Palestinians flee southern Gaza city as Israeli forces prepare to launch offensive on Hamas-ruled territory, which is ruled by the militant group Hamas"
Switzerland wins Eurovision song contest after controversial grand final,"Nemo has won the 68th song contest with The Code, after a fraught competition overshadowed by protests over Israel’s inclusion and a shock exitEurovision 2024: Switzerland’s Nemo wins 68th song contest with The Code – as it happenedSwitzerland has won the 68th Eurovision song contest, bringing to an end a fraught and at times tumultuous competition overshadowed by a row over Israel’s inclusion and the disqualification of the Dutch contestant just hours before the start of the grand final.Swiss singer Nemo, who defines as non-binary, had entered the night as the bookmakers’ third favourite, but saw off frontrunners Croatia and Israel with an enthusiastic performance of their song The Code. Continue reading...",https://www.theguardian.com/tv-and-radio/article/2024/may/12/switzerland-wins-eurovision-song-contest-after-controversial-grand-final,2024-05-11 23:11:52,"Switzerland’s Nemo has won the Eurovision song contest with The Code, after a fraught competition overshadowed by protests over Israel’s inclusion and a shock exit"
‘Explosive’ secret list of abusers set to upstage women’s big week at Cannes film festival,"Crisis management team reported to be in place as Meryl Streep heads roster of female stars and directors collecting accolades For good and bad reasons, on and off the red carpet, the spotlight is trained on women in the run-up to the Cannes film festival this week. As the cream of female film talent, including Hollywood’s Meryl Streep and Britain’s Andrea Arnold, prepare to receive significant career awards, a dark cloud is threatening. It is expected that new allegations of the abuse of women in the European entertainment industry will be made public, which may overshadow the sparkle of a feminist Croisette.Streep’s screen achievements will be celebrated with an honorary Palme d’Or at the opening ceremony, while a day later Arnold, the acclaimed British film director, will receive the prestigious Carosse d’Or from the French director’s guild. And on Sunday another influential British film personality will be saluted when diversity champion Dame Donna Langley, the chairman and chief content officer at NBCUniversal, is to be honoured with the Women in Motion Award at a lavish dinner. All this comes in a year that also sees the American director Greta Gerwig, best known for last summer’s Barbie, presiding over a jury that features the campaigning stars Eva Green and Lily Gladstone. But the story of the 77th festival will not be all positive for women. Continue reading...",https://www.theguardian.com/film/article/2024/may/11/secret-list-abusers-cannes-film-festival,2024-05-11 16:05:57,"As the cream of female film talent, including Hollywood’s Meryl Streep and Britain’s Andrea Arnold, prepare to receive significant career awards, a dark cloud is threatening"
Clarence Thomas: Washington is a ‘hideous place’ of ‘nastiness and lies’,"US supreme court justice gives one-hour talk at meeting of judges, attorneys and other court personnel of 11th circuit court of appealsClarence Thomas told attendees at a judicial conference Friday that he and his wife have faced “nastiness” and “lies” over the last several years and decried Washington DC as a “hideous place”.The US supreme court justice spoke at a conference attended by judges, attorneys and other court personnel in the 11th circuit judicial conference, which hears federal cases from Alabama, Florida and Georgia. He made the comments pushing back on his critics in response to a question about working in a world that seems mean-spirited. Continue reading...",https://www.theguardian.com/us-news/article/2024/may/11/clarence-thomas-remarks-washington,2024-05-11 18:04:08,"US supreme court justice gives one-hour talk at meeting of judges, attorneys and other court personnel of 11th circuit court of appealsClarence Thomas told attendees at a judicial conference that he and his wife have faced 'nastiness and lies' over the last several years"
Thousands protest against ‘foreign influence’ bill in Georgia,Demonstrators converge on Tbilisi to denounce government-backed law likened to Russia’s silencing of dissent  Thousands of protesters marched through central Tbilisi on Saturday at a rally against a controversial “foreign influence” bill backed by the Georgian government and likened to Russian laws silencing dissent.Massive rallies have gripped the Black Sea Caucasus country for almost a month after the ruling Georgian Dream party revived the bill that was dropped last year because of a huge backlash. Continue reading...,https://www.theguardian.com/world/article/2024/may/11/thousands-protest-against-foreign-influence-bill-in-georgia,2024-05-11 20:35:51,Protests have gripped the Black Sea Caucasus country for almost a month after the ruling Georgian Dream party revived a controversial bill that critics say is aimed at silencing dissent
Prosecutors ask for 40 years for man who attacked Paul Pelosi with hammer,"Request made week before sentencing of David DePape, who in 2022 broke into ex-US House speaker Nancy Pelosi’s homeFederal prosecutors have asked a judge to give David DePape a 40-year prison sentence for breaking in to former US House speaker Nancy Pelosi’s home in 2022 in an attempt to kidnap her, and “nearly killing” her husband with a hammer.The request was reported by the San Francisco Chronicle late Friday before a sentencing hearing for DePape, scheduled for 17 May. Continue reading...",https://www.theguardian.com/us-news/article/2024/may/11/nancy-pelosi-david-depape,2024-05-11 23:20:54,Prosecutors have asked a judge to give David DePape a 40-year prison sentence for breaking in to ex-US House speaker Nancy Pelosi’s home and attempting to kidnap her
Revealed: thousands of ‘innocent and abandoned’ migrant care workers told to leave UK,"Observer and Bureau of Investigative Journalism find that workers whose sponsoring company had been sanctioned were also being punishedThousands of migrant care workers have been threatened with deportation, despite doing nothing wrong, after the Home Office took enforcement action against their employers.In one case, a brother and sister from India who paid a recruitment agency £18,000 to secure care jobs in the UK, only to find they had been scammed, were told they must find another company to sponsor them in 60 days or leave the country. Continue reading...",https://www.theguardian.com/society/article/2024/may/11/migrant-care-workers-told-to-leave-uk,2024-05-11 10:00:24,"Migrant care workers are being threatened with deportation despite doing nothing wrong, despite the Home Office taking enforcement action against their employers, an investigation has found."
Air Vanuatu grounding prompts fears Pacific country’s tourism will take big hit,"Holiday operators say Vanuatu was in post-Covid boom but tourists are ditching plans and resort staff being cut as airline’s future hangs in the air“Everybody is complaining, it’s not good. Don’t book Air Vanuatu.” Those were the words of a taxi driver in March as he pulled away from Vanuatu’s Bauerfield international airport and headed into the heart of Port Vila, the oceanside capital of the Pacific island country.Two months later and the frequent cancellations and delays that had become synonymous with the national carrier over the past year have given way to a government announcement that Air Vanuatu is in voluntary liquidation. In a country where 48% of gross domestic product is derived from tourism, business owners fear tourism will bear the brunt of the airline’s grounding. Continue reading...",https://www.theguardian.com/world/article/2024/may/12/air-vanuatu-grounding-prompts-fears-pacific-countrys-tourism-will-take-big-hit,2024-05-11 23:34:01,Vanuatu’s national carrier Air Vanuatu is in voluntary liquidation and business owners fear tourism will bear the brunt as the airline’s future hangs in the air
Is this actually PTSD? Clinicians divided over redefining borderline personality disorder,"Some have argued BPD should be reclassified as a trauma disorder, maintaining those diagnosed are typically women with abuse in their pastGet our morning and afternoon news emails, free app or daily news podcastWhen Prof Andrew Chanen was a trainee psychiatrist in 1993, patients with borderline personality disorder (BPD) who had self-harmed were “vilified” and “treated appallingly”.“There was this myth that somehow they were indestructible,” he says. Despite what his teachers told him, “most were dead by the end of my training”. Continue reading...",https://www.theguardian.com/society/article/2024/may/12/is-this-actually-ptsd-clinicians-divided-over-redefining-borderline-personality-disorder,2024-05-11 20:00:36,"Patients with borderline personality disorder who have self-harmed were “vilified” and “treated appallingly” according to Prof Andrew Chanen, who now works with victims of domestic abuse"
This is how we do it: ‘I can only orgasm fantasising about other men. My husband loves it’,"A kiss with a co-worker jolted Penny awake, and Peter harnessed her feelings into their relationshipHow do you do it? Share the story of your sex life, anonymouslyThe catalyst for my first orgasm was a crush I developed on a co-worker. We shared a kiss Continue reading...",https://www.theguardian.com/lifeandstyle/article/2024/may/11/this-is-how-we-do-it-i-can-only-orgasm-fantasising-about-other-men-my-husband-loves-it,2024-05-11 11:00:27,"A kiss with a co-worker jolted Penny awake, and Peter harnessed her feelings into their relationship Share the story of your sex life, anonymously"
