Title,Description,Link,Published Date
Trump appears frustrated in court while possible Cohen testimony looms,"<p>Trump’s demeanor suggests sour mood after Stormy Daniels’s testimony, and news his former lawyer may testify next week promises more angst</p><p>Donald Trump arrived at the courtroom for his hush-money criminal trial on Friday, with apparent frustration, after sitting through two days of testimony from the adult film actor Stormy Daniels, who provided a detailed account of an alleged sexual liaison with him some 20 years ago.</p><p>The drama driven by their made-for-tabloid courtroom confrontation might soon be overshadowed, however, by another showdown. Michael Cohen, Trump’s consigliere-turned-key prosecution witness, <a href=""https://www.bloomberg.com/news/articles/2024-05-10/michael-cohen-expected-to-testify-monday-at-trump-criminal-trial"">might take the stand</a> on Monday – promising still more angst for him.</p><p><strong><a href=""https://www.theguardian.com/us-news/2024/apr/15/trump-hush-money-trial"">A guide to Trump’s hush-money trial</a> – so far</strong></p><p><strong><a href=""https://www.theguardian.com/us-news/2024/apr/15/trump-hush-money-trial-key-arguments"">The key arguments</a> prosecutors will use against Trump</strong></p><p><strong><a href=""https://www.theguardian.com/us-news/2024/apr/15/trumps-first-trial-is-starting-heres-how-itll-work"">How will Trump’s trial work?</a></strong></p><p><strong>From Michael Cohen to Stormy Daniels: <a href=""https://www.theguardian.com/us-news/2024/apr/15/key-players-donald-trump-hush-money-trial"">the key players</a></strong></p> <a href=""https://www.theguardian.com/us-news/article/2024/may/10/trump-hush-money-trial-resumes"">Continue reading...</a>",https://www.theguardian.com/us-news/article/2024/may/10/trump-hush-money-trial-resumes,2024-05-10 17:01:04
‘A lot of emotions’: Kylian Mbappé confirms he will leave PSG in summer,"<ul><li>Mbappé’s final home game will be against Toulouse on Sunday</li><li>‘I haven’t always lived up to your love,’ France star tells fans</li></ul><p>Kylian Mbappé has confirmed he will leave Paris Saint-Germain at the end of the season. The forward released a video on social media in which he confirmed the news many fans had been expecting, with his contract set to expire this summer.</p><p>Addressing the club’s supporters, Mbappé said: “I wanted to announce to you all that it’s my last year at Paris Saint-Germain. I will not extend [my contract] and the adventure will come to an end in a few weeks.” PSG host Toulouse on Sunday and the 25-year-old said the Ligue 1 game will be “my last at the Parc des Princes” after seven years in the French capital.</p> <a href=""https://www.theguardian.com/football/article/2024/may/10/kylian-mbappe-announces-leaving-psg"">Continue reading...</a>",https://www.theguardian.com/football/article/2024/may/10/kylian-mbappe-announces-leaving-psg,2024-05-10 18:37:22
Rudy Giuliani suspended by New York radio station over 2020 election lies,"<p>WABC owner says Trump ally received warnings not to discuss ‘election fallacies’ and that refusal to do so ‘left me no option’</p><p>The former New York mayor Rudy Giuliani’s troubles deepened on Friday when he was suspended by WABC radio, for trying to use his <a href=""https://wabcradio.com/podcast/rudy-giuliani/"">show</a> to discuss the lie that the 2020 presidential election was lost by Donald Trump because of electoral fraud.</p><p><a href=""https://ragny.com/about-us/"">John Catsimatidis</a>, a New York billionaire, Republican donor and owner of WABC, <a href=""https://www.nytimes.com/2024/05/10/nyregion/giuliani-radio-suspended.html"">told the New York Times</a>: “We’re not going to talk about fallacies of the November 2020 election. We warned him once. We warned him twice. And I get a text from him last night, and I get a text from him this morning that he refuses not to talk about it.</p> <a href=""https://www.theguardian.com/us-news/article/2024/may/10/rudy-giuliani-suspended-radio"">Continue reading...</a>",https://www.theguardian.com/us-news/article/2024/may/10/rudy-giuliani-suspended-radio,2024-05-10 23:48:01
At least 50 dead after flash flooding in northern Afghanistan,"<p>Death toll may rise as search continues for victims under mud and rubble and as more rain approaches</p><p>At least 50 people, mainly women and children, have been killed in flash flooding in the northern Afghanistan province of Baghlan.</p><p>The number was confirmed by Hedayatullah Hamdard, the head of the provincial natural disaster management department, who said it could increase in the coming days.</p> <a href=""https://www.theguardian.com/world/article/2024/may/10/deaths-flash-floods-in-north-afghanistan-women-and-children"">Continue reading...</a>",https://www.theguardian.com/world/article/2024/may/10/deaths-flash-floods-in-north-afghanistan-women-and-children,2024-05-10 19:56:05
Is AI lying to me? Scientists warn of growing capacity for deception,"<p>Researchers find instances of systems double-crossing opponents, bluffing, pretending to be human and modifying behaviour in tests</p><p>They can <a href=""https://www.theguardian.com/technology/2017/may/23/alphago-google-ai-beats-ke-jie-china-go"">outwit humans at board games</a>, <a href=""https://www.theguardian.com/science/article/2024/may/08/google-deepmind-ai-biology-alphafold"">decode the structure of proteins</a> and <a href=""https://www.theguardian.com/technology/ng-interactive/2023/nov/01/how-ai-chatbots-like-chatgpt-or-bard-work-visual-explainer"">hold a passable conversation</a>, but as AI systems have grown in sophistication so has their capacity for deception, scientists warn.</p><p>The analysis, by Massachusetts Institute of Technology (MIT) researchers, identifies wide-ranging instances of AI systems double-crossing opponents, bluffing and pretending to be human. One system even altered its behaviour during mock safety tests, raising the prospect of auditors being lured into a false sense of security.</p> <a href=""https://www.theguardian.com/technology/article/2024/may/10/is-ai-lying-to-me-scientists-warn-of-growing-capacity-for-deception"">Continue reading...</a>",https://www.theguardian.com/technology/article/2024/may/10/is-ai-lying-to-me-scientists-warn-of-growing-capacity-for-deception,2024-05-10 15:00:21
Novak Djokovic injured by falling bottle after beating Corentin Moutet in Rome,"<ul><li>World No 1 says he is ‘fine’ and ‘this was an accident’</li><li>Katie Boulter loses to Rebecca Sramkova 6-4, 7-6 (8)</li></ul><p>Novak Djokovic received medical treatment after being struck on the head by a bottle while attempting to sign autographs following his opening win at the Italian Open in Rome.</p><p>Djokovic, the top seed, reached the third round with a 6-3, 6-1 win over Corentin Moutet of France. After completing his on-court interview, Djokovic approached fans by the entrance to the court and began signing memorabilia. After Djokovic signed a cap and ticket, a large metal bottle fell at speed on to Djokovic’s head. The Serb fell to the ground, where he remained for around 40 seconds before he was guided away by security guards.</p> <a href=""https://www.theguardian.com/sport/article/2024/may/10/dominic-thiem-retire-tennis-boulter-djokovic-italian-open"">Continue reading...</a>",https://www.theguardian.com/sport/article/2024/may/10/dominic-thiem-retire-tennis-boulter-djokovic-italian-open,2024-05-10 20:53:36
Is this a real Premier League title race or a skilfully maintained illusion? | Jonathan Liew,"<p>Intrigue, mind games and a credible chance of Manchester City slipping up are all missing from this supposedly epic battle</p><p>Hello, hello. Testing. Is this thing still on? As we head into the penultimate weekend of the Premier League season, a title race does putatively <em>appear</em> to exist. Arsenal are top, a point ahead of Manchester City. City have a game in hand. Mathematically speaking, nothing yet is decided or settled.</p><p>What remains to be seen, of course, is whether this is actually a real title race, or whether we are simply living through a skilfully maintained illusion. After all, it’s almost three months since City dropped points against anybody other than a direct title rival. They haven’t lost in the league since December and are on a run of six straight wins. Three more will be enough to retain the league title. Two will do if Arsenal slip up at&nbsp;Old&nbsp;Trafford on Sunday.</p> <a href=""https://www.theguardian.com/football/article/2024/may/10/premier-league-manchester-city-arsenal-pep-guardiola-mikel-arteta"">Continue reading...</a>",https://www.theguardian.com/football/article/2024/may/10/premier-league-manchester-city-arsenal-pep-guardiola-mikel-arteta,2024-05-10 19:00:05
Geopolitics comes to Vitesse: how ‘Chelsea B’ were swallowed by Abramovich associates | Jacob Steinberg,"<p>Fans of the Eredivisie club hoped takeovers would transform their fortunes, but instead they face an existential threat to their future</p><ul><li><a href=""https://www.theguardian.com/football/article/2024/may/10/roman-abramovich-loans-fund-dutch-football-club-vitesse-arnhem-valery-oyf"">Abramovich loans fund Vitesse owner, leaked documents suggest</a></li></ul><p>Vitesse Arnhem are a cautionary tale. At first glance, it is possible to fall into the trap of thinking that they hit the jackpot 14 years ago. Vitesse, a Dutch club with little history of success, had their identity transformed after a takeover led by the Georgian former footballer Merab Jordania.</p><p>Allegations of links between Jordania and Roman Abramovich, the Russian oligarch and former owner of Chelsea Football Club, were always denied. Vitesse, whose highest finish in the Eredivisie was third in 1998, trundled along. They were characterised as “Chelsea B” because of the numbers of players they took on loan from the Premier League side. The game that brought them the first trophy in their long but modest history is instructive. Three young Chelsea loanees – Matt Miazga, Lewis Baker and Nathan – were in the Vitesse team that beat AZ Alkmaar in the Dutch Cup final in 2017.</p> <a href=""https://www.theguardian.com/football/article/2024/may/10/geopolitics-vitesse-arnhem-chelsea-b-roman-abramovich-associates"">Continue reading...</a>",https://www.theguardian.com/football/article/2024/may/10/geopolitics-vitesse-arnhem-chelsea-b-roman-abramovich-associates,2024-05-10 14:00:19
Standard Liège game off after fans block team bus in protest against 777 Partners,"<ul><li>Belgian club are owned by US firm linked with Everton takeover</li><li>Friday’s home match with Westerlo postponed after protests</li></ul><p>Standard Liège, the Belgian club owned by turmoil-hit US investment group 777 Partners, were forced to postpone their league game on Friday after protesting fans blocked the team coach from reaching the stadium.</p><p>Fans of Standard, 10-time Belgian champions, have stepped up protests this season against Miami-based 777, whose legal and financial worries have led to the club currently being under another temporary transfer embargo.</p> <a href=""https://www.theguardian.com/football/article/2024/may/10/standard-liege-fans-protest-against-777-partners"">Continue reading...</a>",https://www.theguardian.com/football/article/2024/may/10/standard-liege-fans-protest-against-777-partners,2024-05-10 21:56:45
"Brazil leave Casemiro, Richarlison and Gabriel Jesus out of Copa América squad","<ul><li>Premier League trio left out by coach Dorival Júnior</li><li>Gabriel Martinelli picked alongside rising star Endrick</li></ul><p>Brazil have included Palmeiras prodigy Endrick in their 23-player strong squad for the upcoming Copa América, but Premier League players Casemiro, Richarlison and Gabriel Jesus have missed out on a place, the coach, Dorival Júnior, announced.</p><p>Endrick, who is due to join Spanish giants Real Madrid when he turns 18 in July, has scored two goals in four appearances for Brazil since his debut last year. He is the youngest male player <a href=""https://www.theguardian.com/football/blog/2024/mar/23/endrick-lights-up-wembley-in-latest-instalment-of-career-on-fast-forward"">to score an international goal at Wembley</a>.</p> <a href=""https://www.theguardian.com/football/article/2024/may/10/brazil-ditch-casemiro-richarlison-and-gabriel-jesus-for-copa-america"">Continue reading...</a>",https://www.theguardian.com/football/article/2024/may/10/brazil-ditch-casemiro-richarlison-and-gabriel-jesus-for-copa-america,2024-05-10 20:20:52
